"generated_at","tool","model","prompt_version","asset_type","reference_set_id","reference_paths","output_path","review_status","review_notes"
"2026-09-17T07:11:18.1768200+09:00","builtin image_gen","not exposed","H1-expansion-H1-X01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\korean-character-refinement-2026-09-17\K2_korean_manhwa.png","workbench/production/h1-style-expansion-2026-09-17/iterations/01_cast_comparison_r0.png","superseded","독립 QA: 화풍·H1·주인공 위계·해부·프레임 통과. B2 노년성이 약해 얼굴만 수정."
"2026-09-17T07:13:38.0416356+09:00","builtin image_gen","not exposed","H1-expansion-H1-X01r1","H1_shared_style_concept","H1-D072-D070","C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-f7fd1965-f62b-45af-875f-2cea2e287893.png","workbench/production/h1-style-expansion-2026-09-17/01_cast_comparison.png","visual_qa_pass","독립 재검수 통과: B2 노년성 개선, H1/다른 인물/손/검/소품 회귀 없음. 원화 검수이며 3D 미검증."
"2026-09-17T07:22:02.8807764+09:00","builtin image_gen","not exposed","H1-expansion-H1-X02","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-af073d7b-b9db-4df2-9490-f2910f203e27.png|C:\workspace\joseon\tmp\h1_artwork_build\references\actual_town.png","workbench/production/h1-style-expansion-2026-09-17/iterations/02_motgol_close.png","superseded","공통화풍 양호. 인물비중이 실제보다 약2배 크고 상점천이 일본 노렌처럼 읽힐 여지 → 시점/천구조 보정."
"2026-09-17T07:26:12.3764953+09:00","builtin image_gen","not exposed","H1-expansion-H1-X02r1","H1_shared_style_concept","H1-D072-D070","C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-d3b8eebd-c04b-4d22-af80-c2bd10d482ae.png","workbench/production/h1-style-expansion-2026-09-17/02_motgol_wide.png","visual_qa_pass","시점 후퇴·천 가리개 정리. 원화 인물비중은 개선됐으며 실제3D 정합은 별도 시험. 독립검수: 환경 원화 합격, 실제3D/게임가독성·가림·애니는 미검증."
"2026-09-17T07:28:58.2496155+09:00","builtin image_gen","not exposed","H1-expansion-H1-M01F","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png","workbench/production/h1-style-expansion-2026-09-17/04_doho_front.png","input_visual_qa_pass","독립 QA: H1 복식·앞트임·분리바지·무광·T-pose 확인. 주먹손이라 손펴는 동작은 미검증. 실제3D 합격과 구분."
"2026-09-17T07:30:40.4662937+09:00","builtin image_gen","not exposed","H1-expansion-H1-M01B","H1_shared_style_concept","H1-D072-D070","C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-ebad1a1c-e64e-49c9-b94d-c6f7eddd4d87.png|C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png","workbench/production/h1-style-expansion-2026-09-17/05_doho_back.png","input_visual_qa_pass","독립 QA: 정면/후면 의상·허리끈 위치 연결. 후면 머리·옷자락은 제작상 추론, 실제3D 미검증."
"2026-09-17T07:24:28.3809129+09:00","builtin image_gen","not exposed","H1-expansion-H1-X03","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-d3b8eebd-c04b-4d22-af80-c2bd10d482ae.png|C:\workspace\joseon\tmp\h1_artwork_build\references\actual_dungeon.png","workbench/production/h1-style-expansion-2026-09-17/03_sealed_chamber.png","superseded","무광 석재·도호/산적·이동면 판독 양호. 현재캡처보다 인물비중이 커 실제크기 검증은 별도. 독립검수: 환경 원화 합격, 실제3D/게임가독성·가림·애니는 미검증. 현행 art_3d_pipeline 산적 무기는 나무곤봉으로 확인되어 칼→곤봉 수정본으로 대체."
"2026-09-17T07:39:04.4688767+09:00","builtin image_gen","not exposed","H1-expansion-H1-X03r1","H1_shared_style_concept","H1-D072-D070","C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-eb2b42bc-ded4-4106-8a2e-1f8bda79a81c.png","workbench/production/h1-style-expansion-2026-09-17/03b_sealed_chamber_club.png","visual_qa_pass","산적의 칼만 나무 곤봉으로 정정(art_3d_pipeline §3). 부모 재검수: 도호 검·배경·인물·조명 회귀 없음. 원화 합격, 실제3D는 별도."
"2026-09-17T07:32:15.9262679+09:00","builtin image_gen","not exposed","H1-expansion-H1-M02F","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-af073d7b-b9db-4df2-9490-f2910f203e27.png","workbench/production/h1-style-expansion-2026-09-17/06_merchant_front.png","input_visual_qa_pass","부모 QA: B1 연령·체형·복장·T-pose·빈손 확인. 손펴는 동작은 미검증. 독립 검수에서도 고령상인·앞뒤연결·프레임 합격."
"2026-09-17T07:34:13.7321212+09:00","builtin image_gen","not exposed","H1-expansion-H1-M02B","H1_shared_style_concept","H1-D072-D070","C:\Users\FORYOUCOM\.codex\generated_images\01a0ab0c-798a-7282-8f8b-e183b8b90559\exec-5fb42af1-d867-4c6e-b380-31c038ea9bec.png","workbench/production/h1-style-expansion-2026-09-17/07_merchant_back.png","input_visual_qa_pass","부모 QA: 전후 복식·주머니 동일 신체측면·체형·전신 프레임 확인. 후면은 제작상 추론. 독립 검수에서도 고령상인·앞뒤연결·프레임 합격."
