"generated_at","tool","model","prompt_version","asset_type","reference_set_id","reference_paths","output_path","review_status","review_notes"
"2026-09-17T02:58:27.5353071+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/master_doho","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_doho_D01-D03.png","workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:00:06.1664963+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/master_gwisae","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gwisae_G01-G03.png","workbench/production/artwork-sequence-2026-09-17/02_gwisae_G02_master.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:01:18.9847704+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/master_cheongyeon","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_cheongyeon_C01-C03.png","workbench/production/artwork-sequence-2026-09-17/03_cheongyeon_C01_master.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:02:28.6047517+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/master_gumiho_before","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gumiho_F01-F03.png","workbench/production/artwork-sequence-2026-09-17/04_gumiho_F01_master.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:03:50.3668147+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/master_gumiho_after","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gumiho_F01-F03.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/04_gumiho_F01_master.png","workbench/production/artwork-sequence-2026-09-17/05_gumiho_F03_master.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:05:12.6856559+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/doho_turnaround","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_doho_D01-D03.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","workbench/production/artwork-sequence-2026-09-17/06_doho_D03_turnaround.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:06:34.2031919+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/doho_details","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","workbench/production/artwork-sequence-2026-09-17/07_doho_D03_details.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:00:30.2538286+09:00","Godot isolated model capture","existing doho v2 GLB","artwork-sequence-2026-09-17/current_model_audit","model-comparison","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon/assets/models/doho/doho.glb","workbench/production/artwork-sequence-2026-09-17/08_current_model_audit.png","reference-capture","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:00:31.7165865+09:00","Godot isolated model capture","existing doho v2 GLB","artwork-sequence-2026-09-17/current_model_native_scale","model-comparison","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon/assets/models/doho/doho.glb","workbench/production/artwork-sequence-2026-09-17/09_current_model_native_scale.png","reference-capture","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:09:39.8278784+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/motgol_day","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","workbench/production/artwork-sequence-2026-09-17/10_motgol_day_keyframe.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:10:39.1118487+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/sealed_stone","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","workbench/production/artwork-sequence-2026-09-17/11_sealed_stone_keyframe.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:12:12.8138322+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/stonekit","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/11_sealed_stone_keyframe.png","workbench/production/artwork-sequence-2026-09-17/12_stonekit_concepts.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:13:24.9352615+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/enemy_trio","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","workbench/production/artwork-sequence-2026-09-17/13_enemy_trio_concepts.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:19:58.6648124+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/heukrang","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/archive/14_heukrang_scale_draft.png","workbench/production/artwork-sequence-2026-09-17/14_heukrang_concept.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:15:50.6911928+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/npc_trio","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/10_motgol_day_keyframe.png","workbench/production/artwork-sequence-2026-09-17/15_npc_trio_concepts.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:21:08.7196219+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/gwisae_turnaround","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gwisae_G01-G03.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/02_gwisae_G02_master.png","workbench/production/artwork-sequence-2026-09-17/16_gwisae_G02_turnaround.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:22:22.8315621+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/cheongyeon_turnaround","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_cheongyeon_C01-C03.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/03_cheongyeon_C01_master.png","workbench/production/artwork-sequence-2026-09-17/17_cheongyeon_C01_turnaround.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:23:45.4608044+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/gumiho_continuity","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gumiho_F01-F03.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/04_gumiho_F01_master.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/05_gumiho_F03_master.png","workbench/production/artwork-sequence-2026-09-17/18_gumiho_F01_F03_continuity.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:24:54.4338376+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/gumiho_tails","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/05_gumiho_F03_master.png","workbench/production/artwork-sequence-2026-09-17/19_gumiho_F03_rear_study.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:26:10.7289508+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/village_props","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/10_motgol_day_keyframe.png","workbench/production/artwork-sequence-2026-09-17/20_motgol_props.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:28:57.1840606+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/keyart_doho","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_doho_D01-D03.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/11_sealed_stone_keyframe.png","workbench/production/artwork-sequence-2026-09-17/21_doho_keyart.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:31:12.3565362+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/keyart_trio","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/02_gwisae_G02_master.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/03_cheongyeon_C01_master.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/10_motgol_day_keyframe.png","workbench/production/artwork-sequence-2026-09-17/22_trio_world_poster.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:32:40.9795655+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/cut4_seal_wall","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/15_npc_trio_concepts.png | C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/11_sealed_stone_keyframe.png","workbench/production/artwork-sequence-2026-09-17/23_cut4_seal_wall.png","candidate","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
"2026-09-17T03:14:22.0459431+09:00","Codex built-in image_gen","tool-managed; exact model ID undisclosed","artwork-sequence-2026-09-17/heukrang_superseded_scale","production-art-candidate","D-068-D03-G02-C01-F01-F03","C:/workspace/joseon-assets/workbench/production/artwork-sequence-2026-09-17/01_doho_D03_master.png","workbench/production/artwork-sequence-2026-09-17/archive/14_heukrang_scale_draft.png","superseded","Timestamp=source file mtime; prompt, SHA256 and dimensions in production manifest. Not imported; existing canonical selection unchanged."
