"canonical","duplicate","classification","action"
"concept\keyart_trio_v2.png","landing\art\title.png","exact-public-landing","keep"
"concept\keyart_trio_v2.png","2026\06\title.png","exact-published-raw-url","keep"
"concept\doho\doho_v4_semi.png","landing\art\doho_v4.png","exact-public-landing","keep"
"video\gumiho_vid2.mp4","landing\art\gumiho_vid.mp4","exact-public-landing","keep"
"maps\map.png","landing\art\map.png","exact-public-landing","keep"
"maps\map2.png","landing\art\map2.png","exact-public-landing","keep"
"concept\gumiho\gumiho_art_9tail.png","2026\06\gumiho1.png","exact-published-raw-url","keep"
"concept\doho\doho_art_dungeon.png","2026\06\doho-dungeon.png","exact-published-raw-url","keep"
"concept\npc\yungeom_ref_sheet.png","archive\duplicates\exact\concept-npc\yungeom_ref_sheet_v2.png","exact-archive","retain-until-explicit-delete"
"magazine\gwisae_heritage_cover.png","archive\duplicates\exact\magazine\gwisae_heritage_cover_dup.png","exact-archive","retain-until-explicit-delete"
"magazine\gwisae_veiled_blade_card.png","archive\duplicates\exact\magazine\gwisae_veiled_blade_dup.png","exact-archive","retain-until-explicit-delete"
"magazine\yungeom_card_v1.png","archive\duplicates\exact\magazine\yungeom_card_v1_dup.png","exact-archive","retain-until-explicit-delete"
"magazine\yungeom_card_v2.png","archive\duplicates\exact\magazine\yungeom_card_v2_dup.png","exact-archive","retain-until-explicit-delete"
"magazine\doho_modern_orient.png","archive\duplicates\variants\magazine\doho_modern_orient_dup.png","different-content-variant","review"
