"source","target","reason"
"concept\probe","workbench\probes\gpt-image2","style probes separated from approved concept art"
"inbox\generation-smoke-tests","workbench\smoke-tests\2026-06-07\generation-comparison","completed provider smoke tests"
"inbox\rd-plus-npc","workbench\candidates\npc\herbalist-rd-plus-2026-06-07","unapproved NPC candidate"
"sprites\doho_sheet_test.png","workbench\tests\sprites\doho\doho_sheet_test.png","test sprite separated from production sprites"
"sprites\doho_sprite_test.aseprite","workbench\tests\sprites\doho\doho_sprite_test.aseprite","test source separated from production sprites"
"tools\rd-api-examples\test_rd_plus_output.png","workbench\smoke-tests\2026-06-07\rd-api-example\test_rd_plus_output.png","generated API example output separated from tooling"
"concept\npc\yungeom_ref_sheet_v2.png","archive\duplicates\exact\concept-npc\yungeom_ref_sheet_v2.png","exact duplicate of concept/npc/yungeom_ref_sheet.png"
"archive\inbox_dup\gwisae_heritage_cover_dup.png","archive\duplicates\exact\magazine\gwisae_heritage_cover_dup.png","exact duplicate of magazine canonical"
"archive\inbox_dup\gwisae_veiled_blade_dup.png","archive\duplicates\exact\magazine\gwisae_veiled_blade_dup.png","exact duplicate of magazine canonical"
"archive\inbox_dup\yungeom_card_v1_dup.png","archive\duplicates\exact\magazine\yungeom_card_v1_dup.png","exact duplicate of magazine canonical"
"archive\inbox_dup\yungeom_card_v2_dup.png","archive\duplicates\exact\magazine\yungeom_card_v2_dup.png","exact duplicate of magazine canonical"
"archive\inbox_dup\doho_modern_orient_dup.png","archive\duplicates\variants\magazine\doho_modern_orient_dup.png","named duplicate but hash differs; retained for review"
"reference\ui_mockup","reference\internal\ui_mockup","project UI references grouped as internal"
"reference\sprite_ref_3char_animations.png","reference\internal\sprites\sprite_ref_3char_animations.png","project sprite reference grouped as internal"
"reference\sprite_ref_3char_concept.png","reference\internal\sprites\sprite_ref_3char_concept.png","project sprite reference grouped as internal"
"reference\04e667a36aceec4725213a6e5498b68d.jpg","reference\external\unclassified\04e667a36aceec4725213a6e5498b68d.jpg","external reference awaiting descriptive rename and source catalog"
"reference\112134a3d6bd24acf1e186ef4c101f91.jpg","reference\external\unclassified\112134a3d6bd24acf1e186ef4c101f91.jpg","external reference awaiting descriptive rename and source catalog"
"reference\1fdc5e6697fd6c0efed07d26517c33b6.jpg","reference\external\unclassified\1fdc5e6697fd6c0efed07d26517c33b6.jpg","external reference awaiting descriptive rename and source catalog"
"reference\26824c861d362bcc37fb118c06f52b04.jpg","reference\external\unclassified\26824c861d362bcc37fb118c06f52b04.jpg","external reference awaiting descriptive rename and source catalog"
"reference\2d6b79a748f68883dbcfa292106eddba.jpg","reference\external\unclassified\2d6b79a748f68883dbcfa292106eddba.jpg","external reference awaiting descriptive rename and source catalog"
"reference\3b12eae0aab244c34592ba0ddbf0c17d.jpg","reference\external\unclassified\3b12eae0aab244c34592ba0ddbf0c17d.jpg","external reference awaiting descriptive rename and source catalog"
"reference\490138f1b151098460c974af81b081c6.jpg","reference\external\unclassified\490138f1b151098460c974af81b081c6.jpg","external reference awaiting descriptive rename and source catalog"
"reference\52733d07c5903053ab1502dd1be6840e.jpg","reference\external\unclassified\52733d07c5903053ab1502dd1be6840e.jpg","external reference awaiting descriptive rename and source catalog"
"reference\5ec5f89df8951a939a3356c39dcbcff2.jpg","reference\external\unclassified\5ec5f89df8951a939a3356c39dcbcff2.jpg","external reference awaiting descriptive rename and source catalog"
"reference\6765fd8c7dd15793d03bc759ec9a8aec.jpg","reference\external\unclassified\6765fd8c7dd15793d03bc759ec9a8aec.jpg","external reference awaiting descriptive rename and source catalog"
"reference\68aa32387bec84ec5f771b7884ed5016.jpg","reference\external\unclassified\68aa32387bec84ec5f771b7884ed5016.jpg","external reference awaiting descriptive rename and source catalog"
"reference\691b6e1fe0e1e69bd7db8fc78dc14b91.jpg","reference\external\unclassified\691b6e1fe0e1e69bd7db8fc78dc14b91.jpg","external reference awaiting descriptive rename and source catalog"
